Observer,Block name,Point name,Date,Species,Time interval,Number,Sex/Behaviour,Distance,Detection_hist,3 Birds at census point.Notes,Record #,Verified?,Time start,Temp,Relative humidity,Wind,Sky_code,Mammal,Noise,Recording #,2 Point information.Notes,Start time,End time,Start temp,End temp,Start wind,End wind,Start sky,End sky
David Blakeburn,Quill Creek,Q01,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8",1,S,50-100m,11110,,2263,FALSE,4:04,8,68.4,0.2,3,,creek noise make impact recording,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q01,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2264,FALSE,4:04,8,68.4,0.2,3,,creek noise make impact recording,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q01,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,2265,FALSE,4:04,8,68.4,0.2,3,,creek noise make impact recording,,,4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,10,1,S,<50m,00001,,3023,FALSE,4:04,7.8,52.1,0,1,,noise of creek may obscure subtle bird sound <50m,,Karrie B data not entered,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8,10",1,S,50-100m,01111,,3024,FALSE,4:04,7.8,52.1,0,1,,noise of creek may obscure subtle bird sound <50m,,Karrie B data not entered,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3025,FALSE,4:04,7.8,52.1,0,1,,noise of creek may obscure subtle bird sound <50m,,Karrie B data not entered,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q01,"Wednesday, June 08, 2022",Swainson's Thrush,2,1,C,50-100m,10000,,3026,FALSE,4:04,7.8,52.1,0,1,,noise of creek may obscure subtle bird sound <50m,,Karrie B data not entered,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q01,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6,8,10",1,"S,C",<50m,11111,,3027,FALSE,4:04,7.8,52.1,0,1,,noise of creek may obscure subtle bird sound <50m,,Karrie B data not entered,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,10,1,S,<50m,00001,,3077,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Swainson's Thrush,2,1,C,<50m,10000,,3078,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8,10",1,S,50-100m,01111,,3079,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
